MAJOR OCCUPATION GROUP,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TOTAL,%
"Prof'l, Tech'l, & Related Workers",4821.0,5509.0,3928.0,3791.0,3869.0,4147.0,4899.0,7689.0,6861.0,7858.0,7635.0,7299.0,7225.0,6369.0,5416.0,6315.0,5522.0,3425.0,2521.0,6154.0,6932.0,8294.0,7574.0,9540.0,9095.0,12526.0,7816.0,7072.0,6849.0,7932.0,8181.0,7841.0,6499.0,6507.0,7504.0,6781.0,5074.0,5029.0,5209.0,1240.0,254748.0,0.0
Administrative Workers,451.0,360.0,324.0,320.0,366.0,369.0,420.0,678.0,480.0,430.0,461.0,548.0,823.0,800.0,613.0,635.0,687.0,621.0,740.0,791.0,932.0,890.0,928.0,770.0,1025.0,1449.0,1708.0,1553.0,2001.0,2603.0,2176.0,1954.0,2195.0,1905.0,1789.0,1554.0,1258.0,1211.0,1249.0,282.0,40349.0,0.0
Clerical Workers,2475.0,3992.0,2796.0,3131.0,2972.0,3394.0,4605.0,2157.0,1681.0,1807.0,1928.0,1789.0,2079.0,2153.0,2270.0,1600.0,1646.0,1357.0,1339.0,1625.0,1480.0,1377.0,1333.0,1450.0,1454.0,1945.0,2153.0,1979.0,2451.0,2596.0,2207.0,1947.0,1915.0,1954.0,1925.0,1878.0,1453.0,1370.0,1385.0,356.0,81404.0,0.0
Sales Workers,1628.0,1865.0,1414.0,1326.0,1819.0,2109.0,2825.0,2184.0,2251.0,2715.0,2878.0,3031.0,2116.0,2681.0,2524.0,2704.0,2695.0,1862.0,1793.0,2324.0,2291.0,2830.0,2886.0,3426.0,3358.0,3564.0,3576.0,3037.0,3227.0,2950.0,2880.0,2786.0,2129.0,2495.0,2807.0,3018.0,2287.0,2383.0,2366.0,498.0,99538.0,0.0
Service Workers,2381.0,2213.0,1614.0,1075.0,1037.0,1038.0,874.0,956.0,1028.0,1331.0,1965.0,1755.0,1724.0,2436.0,1230.0,1026.0,1103.0,752.0,1129.0,964.0,992.0,1046.0,1139.0,1338.0,1850.0,1192.0,1035.0,1188.0,1600.0,1688.0,1899.0,2161.0,2333.0,2522.0,2639.0,2754.0,3501.0,2892.0,2921.0,664.0,64985.0,0.0
Workers & Fishermen,2238.0,1894.0,1787.0,1475.0,1483.0,1389.0,1105.0,1227.0,1081.0,1283.0,1412.0,1177.0,1409.0,1294.0,1020.0,1189.0,1003.0,739.0,693.0,899.0,965.0,979.0,920.0,1098.0,888.0,1086.0,1201.0,948.0,1217.0,1311.0,1138.0,958.0,906.0,858.0,1151.0,1032.0,920.0,789.0,590.0,136.0,44888.0,0.0
"Equipment Operators, & Laborers",1780.0,2758.0,1951.0,1992.0,1848.0,1822.0,1754.0,2281.0,2236.0,2476.0,3113.0,2507.0,2906.0,2616.0,2407.0,2721.0,2204.0,1487.0,1545.0,2025.0,1695.0,1762.0,1759.0,2198.0,1821.0,2260.0,2374.0,2188.0,2801.0,2889.0,2936.0,2562.0,2162.0,2290.0,2708.0,2494.0,2342.0,1819.0,1597.0,405.0,87491.0,0.0
Members of the Armed Forces,858.0,504.0,96.0,57.0,36.0,32.0,73.0,315.0,309.0,285.0,285.0,159.0,84.0,67.0,48.0,41.0,32.0,18.0,357.0,73.0,139.0,358.0,217.0,57.0,116.0,310.0,289.0,226.0,247.0,389.0,327.0,175.0,128.0,149.0,285.0,214.0,190.0,220.0,259.0,54.0,8078.0,0.0
Housewives,11202.0,12469.0,9025.0,8730.0,9247.0,8695.0,9315.0,9720.0,9929.0,11520.0,12248.0,15076.0,15850.0,14800.0,12863.0,14549.0,13377.0,9545.0,10146.0,11000.0,11561.0,12138.0,11418.0,12014.0,13477.0,17701.0,17677.0,14396.0,15283.0,14036.0,13918.0,13647.0,13086.0,13423.0,13723.0,13357.0,11400.0,11310.0,9326.0,2918.0,485115.0,0.0
Retirees,1718.0,2056.0,1327.0,1022.0,1103.0,1399.0,1691.0,1417.0,1716.0,1855.0,2107.0,1948.0,2236.0,2241.0,1670.0,2069.0,1897.0,1326.0,1706.0,1898.0,2288.0,2207.0,1936.0,2378.0,2325.0,3152.0,4310.0,3322.0,3821.0,3315.0,3020.0,3854.0,3435.0,3105.0,3576.0,2895.0,2322.0,2536.0,2736.0,592.0,91527.0,0.0
Students,10486.0,10374.0,9773.0,8872.0,9575.0,11439.0,13409.0,14811.0,13429.0,13641.0,13722.0,15324.0,17725.0,16954.0,14760.0,17019.0,14572.0,10552.0,10903.0,12908.0,12731.0,13656.0,13098.0,14990.0,16931.0,20465.0,21151.0,18885.0,20897.0,23145.0,21796.0,21507.0,19792.0,20698.0,26667.0,24749.0,23912.0,20363.0,16403.0,3966.0,636050.0,0.0
Minors (Below 7 years old),3625.0,4419.0,3826.0,3919.0,4348.0,4750.0,5382.0,5683.0,5114.0,5051.0,4783.0,4913.0,4642.0,4315.0,4216.0,4342.0,3523.0,2497.0,2594.0,3286.0,4060.0,4796.0,4688.0,5880.0,5672.0,6692.0,5820.0,4954.0,5831.0,7162.0,6770.0,6172.0,5659.0,5849.0,6159.0,5788.0,4555.0,4258.0,3687.0,848.0,190528.0,0.0
