NAME_1,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Abra,101,111,111,130,161,160,171,145,244,123,123,131,127,134,102,115,155,150,206,180,187,183,198,250,240,200,226,300,265,263,217,199,51
Agusan del Norte,80,68,98,91,107,96,120,86,133,129,83,139,148,156,175,172,205,212,370,316,281,341,283,298,318,340,298,361,415,336,303,327,57
Agusan del Sur,5,6,10,10,13,18,27,25,15,19,11,32,23,26,36,34,38,50,72,76,102,88,99,97,109,108,97,143,148,96,108,119,26
Aklan,125,79,136,98,131,148,141,108,157,121,101,65,122,136,124,147,170,120,165,204,190,191,230,215,215,258,283,321,289,204,202,209,35
Albay,210,156,203,209,205,258,201,184,232,238,145,149,175,231,220,214,271,327,418,302,225,355,308,385,307,321,358,486,497,407,422,344,77
Antique,53,40,74,65,71,106,93,51,73,66,57,47,50,61,69,74,111,110,93,132,107,95,118,128,146,140,196,221,192,178,177,162,30
Apayao,6,20,8,3,4,10,14,27,22,11,9,4,7,2,12,6,14,16,19,25,14,27,37,20,43,27,47,64,40,54,45,50,6
Aurora,6,21,27,8,23,26,22,16,14,13,7,8,21,15,14,29,13,13,21,34,23,37,35,39,47,35,41,71,79,45,43,68,13
Bataan,648,639,831,689,808,654,751,558,642,561,389,417,464,415,578,553,586,545,677,713,599,701,849,747,817,656,735,862,810,728,690,638,125
Batanes,2,0,0,1,0,2,3,2,1,4,0,3,0,4,0,3,7,0,9,5,8,10,5,9,4,9,13,12,6,9,5,4,0
Batangas,1014,941,1139,1097,1126,1333,1288,1103,1134,1024,695,777,1091,1293,1453,1341,1661,1649,2067,2313,2317,3023,3452,3715,3460,3358,3339,3282,3136,2785,2529,1851,521
Benguet,915,675,768,766,797,855,852,749,794,841,569,703,991,881,1160,1068,1264,1144,1495,1233,1117,1255,1627,1640,1524,1467,1445,2164,1838,1675,1506,1206,295
Biliran,20,18,24,28,17,38,25,16,31,20,14,33,29,16,24,19,34,30,31,61,64,73,64,72,72,87,68,87,105,84,69,87,13
