NAME_1,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Autonomous Region of Muslim Mindanao (ARMM),7,15,9,12,11,16,11,8,20,5,3,18,29,14,18,17,13,38,26,32,19,13,26,18,33,16,22,41,21,21,31,35,8
Bicol Region (Region V),766,609,812,815,842,873,892,735,847,800,604,672,767,837,940,871,1019,1106,1438,1294,1120,1363,1236,1489,1476,1441,1507,1792,1898,1682,1604,1454,338
CALABARZON (Region IV-A),6438,6481,7512,7441,7623,8119,8397,7325,8261,7577,5411,5574,7390,8364,8783,8461,10019,11325,13500,13542,12611,15022,16657,16672,15670,15562,15645,16620,16258,14298,12832,11204,2877
Cagayan Valley (Region II),701,705,766,811,872,962,1146,1005,1230,1047,753,848,796,891,1031,1007,1263,1168,1640,1528,1416,1906,2100,2115,2111,1876,2043,3363,2888,3012,2361,2110,464
Caraga (Region XIII),148,144,172,194,217,226,269,214,272,258,187,284,295,279,372,361,467,506,739,664,648,715,698,702,759,739,717,846,947,776,676,751,146
Central Luzon (Region III),12087,11198,12266,11559,12433,10849,10510,9502,10245,8951,6280,6456,7867,7805,8740,8215,9648,10152,11965,12546,10898,12927,14168,13280,13427,12624,13196,15199,14469,12598,11772,10478,2552
Central Visayas (Region VII),2295,2276,2599,2754,3036,3346,3021,2419,2724,2740,2064,2354,2901,3231,4161,3738,4339,4912,6256,5398,4391,4917,5134,5250,5711,5281,5383,6149,6296,5778,5429,5018,1221
Cordillera Administrative Region (CAR),1064,839,935,952,1027,1089,1132,977,1112,1013,739,889,1187,1078,1349,1285,1555,1414,1831,1514,1427,1587,2021,2133,2007,1829,1918,2906,2510,2324,2089,1738,401
Davao Region (Region XI),415,427,405,544,603,715,783,617,722,729,572,823,1361,1388,1728,1941,2139,2300,2706,2763,2663,2367,2461,2684,3197,2689,2823,3449,3434,3104,2986,2872,773
Eastern Visayas (Region VIII),558,536,605,643,710,830,698,626,694,677,532,567,627,587,798,713,940,907,1253,1304,1241,1331,1355,1301,1462,1399,1435,1621,1621,1407,1352,1373,301
Ilocos Region (Region I),5748,5737,6949,6870,7007,7492,7624,7078,7959,6683,4984,4889,6146,5603,5970,5999,7364,7035,7857,8387,7441,8903,10899,9569,8906,8322,8738,10554,9480,9271,8364,6831,1563
MIMAROPA (Region IV-B),227,211,249,179,230,313,281,247,282,221,227,197,291,275,281,295,340,395,378,412,402,544,641,682,702,645,603,723,724,708,626,608,142
Metropolitan Manila,25370,24543,27170,27075,26539,28013,26343,22788,23411,20369,14358,14548,18173,18338,19313,18047,20578,22485,25861,24744,21053,22063,22370,20968,20931,19277,19463,21236,20655,17613,16064,14081,3416
Northern Mindanao (Region X),422,389,479,586,623,792,765,657,739,754,583,683,908,884,1153,1146,1514,1547,2260,1968,1638,1808,1735,1817,2062,1885,1865,2170,2261,2045,1988,1949,414
SOCCSKSARGEN (Region XII),118,176,195,171,267,272,265,241,310,254,272,248,342,370,419,467,557,645,877,891,800,797,870,833,884,927,958,1221,1307,1080,1099,1031,218
Western Visayas (Region VI),1434,1270,1771,1598,1792,2097,1970,1533,1700,1604,1189,1141,1572,1730,2122,2063,2584,2464,3358,2807,2339,2573,3012,3013,3344,2891,3551,4119,3617,3223,3498,2833,652
Zamboanga Peninsula (Region IX),214,185,250,259,322,385,424,270,385,377,251,316,379,380,540,509,585,626,1022,805,685,789,677,875,956,817,822,988,967,838,879,787,199
